These codes are for use in the library functions and primitives. They inform higher level scripts exactly what/where the error was, as many scripts have differing boundaries for what is acceptable vs not; and what is repairable vs not.

The operational principle is a 4-level system of errors:
qubsd/internal  - Unhandled/undefined; framework bugs, internal code errors, useful messages for development bugs
Syntax/Assert   - Invalid user input, missing arguments, bad formatting
Config/Topology - Static dependenices: missing files, datasets, snapshots. 
Runtime/State   - Dynamic system allocations: IP collisions, file locks, process state, system resource availability

CODE  LEVEL      DESCRIPTION
1     internal   General errors
2     internal   Negative responses that are not errors
3-6   internal   <UNUSED>
7     internal   Invalid value passed to a function
8     internal   Function was passed an invalid option
9     internal   Err/warn message not found 
10    assert     <UNUSED>
11    assert     Missing arguments (assert_args_set)
12    assert     Boolean "TRUE|true|FALSE|false"
13    assert     Integer, positive or negative
14    assert     Integer valid, comparison failed
15    assert     IPV4 CIDR invalid
16    assert     General formatting failure
17    assert     Jail parameter formatting failure 
18    assert     BHYVE parameter formatting failure
19    assert     Generic, all others

110   config     Path invalid
111   config     Cell jconf missing
112   config     Cell qconf missing
120   config     Generic ZFS failure
121   config     Unretrieved dataset
122   config     Root snapshot missing 
123   config     Persist snapshot missing
130   config     QCONF query failure 
131   config     Parameter missing from QCONF
132   config     Unable to determine TYPE from QCONF 
133   config     No networking clients found for proposed gateway

200   runtime    Cell not running
201   runtime    jls error searching for ONJAILS
202   runtime    pgrep error search for VMs 
210   runtime    Generic networking problem 
211   runtime    Route not available
212   runtime    No IP addresses found for any running jails
220   runtime    General system query error 
221   runtime    Query sysmem error
222   runtime    num_cpus not found in sysctl
230   runtime    Generic error for X11 queries
231   runtime    Failed to find XID for window 
232   runtime    Failed to find WM_NAME/CLASS 
233   runtime    Failed to find X11 socket 
234   runtime    Failed to find X11 PID 
235   runtime    Failed to find X11 cellname
236   runtime    Failed to resolve popup dimensions
240   runtime    General runtime error
241   runtime     

